Movie Name,Director ,Year,Jump Count,Jump scare Rating ,Netflix (US),IMDB
31,Rob Zombie,2016,8,2.5,No,5.1
1408,Mikael Håfström,2007,8,3,No,6.8
1917,Sam Mendes,2019,10,2.5,No,8.5
1922,Zak Hilditch,2017,2,1,Yes,6.3
[Rec],"Jaume Balagueró, Paco Plaza",2007,11,3.5,No,7.4
10 Cloverfield Lane,Dan Trachtenberg,2016,8,2.5,No,7.2
28 Days Later,Danny Boyle,2002,10,3,No,7.6
28 Weeks Later,Juan Carlos Fresnadillo,2007,17,3.5,No,7
30 Days of Night,David Slade,2007,9,2.5,No,6.6
47 Meters Down,Johannes Roberts,2017,11,3,Yes,5.6
A Quiet Place,John Krasinski,2018,14,4,No,7.5
"Abandoned, The",Eytan Rockaway,2015,21,3.5,No,5
"ABCs of Death, The",Various Directors,2012,0,0,No,4.7
Absentia,Mike Flanagan,2011,8,2,No,5.8
"Abyss, The",James Cameron,1989,2,0.5,No,7.6
Alien,Ridley Scott,1979,11,2.5,No,8.4
Alien 3,David Fincher,1992,12,2.5,No,6.5
Alien: Covenant,Ridley Scott,2017,6,2,No,6.4
Alien: Resurrection,Jean-Pierre Jeunet,1997,9,3,No,6.2
Aliens,James Cameron,1986,13,3,No,8.4
Alone,"Banjong Pisanthanakun, Parkpoom Wongpoom",2007,21,4.5,No,6.8
Altered States,Ken Russell,1980,2,0.5,No,6.9
"American Werewolf in London, An",James Landis,1981,14,3,No,7.5
"American Werewolf in Paris, An",Anthony Waller,1997,11,2.5,No,5.1
"Amityville Horror, The",Stuart Rosenberg,1979,8,2.5,No,6
"Amityville Horror, The",Andrew Douglas,2005,16,4,No,6
Amityville: The Awakening,Franck Khalfoun,2017,11,3,No,4.8
Amnesiac,Michael Polish,2015,1,0.5,No,4.3
Anaconda,Luis Llosa,1997,9,2,No,4.8
Anna,Jorge Dorado,2013,5,1,No,6.5
Annabelle,John R. Leonetti,2014,11,3.5,No,5.4
Annabelle Comes Home,Gary Dauberman,2019,20,4,No,6
Annabelle: Creation,David F. Sandberg,2017,23,4.5,No,6.5
Annihilation,Alex Garland,2018,4,1.5,Yes,6.9
Apollo 18,Gonzalo López-Gallego,2011,10,3,No,5.2
Apostle,Gareth Evans,2018,5,1.5,Yes,6.3
Army of Darkness,Sam Raimi,1992,9,2,No,7.5
Arrival,Denis Villeneuve,2016,3,0.5,No,7.9
"As Above, So Below",John Erick Dowdle,2014,7,3,Yes,6.2
Attack the Block,Joe Cornish,2011,12,3,No,6.6
Audition,Takashi Miike,1999,1,0.5,No,7.2
"Babadook, The",Jennifer Kent,2014,11,3,No,6.8
Backcountry,Adam MacDonald,2014,4,0.5,Yes,6
Backtrack,Michael Petroni,2015,14,3.5,No,5.9
Banshee Chapter,Blair Erickson,2013,22,5,No,5.5
"Bay, The ",Barry Levinson,2012,8,2.5,No,5.6
Before I Wake,Mike Flanagan,2016,9,3,Yes,6.2
Berberian Sound Studio,Peter Strickland,2012,0,0,No,6.2
Berlin Syndrome,Cate Shortland,2017,1,0.5,No,6.3
Better Watch Out,Chris Peckover,2016,11,2.5,No,6.5
Bird Box,Susanne Bier,2018,4,0.5,Yes,6.6
Black Christmas,Bob Clark,1974,4,1.5,No,7.2
Black Swan,Darren Aronofsky,2010,10,3,No,8
Blade,Stephen Norrington,1998,1,1,No,7.1
Blair Witch,Adam Wingard,2016,18,4,No,5
"Blair Witch Project, The ","Daniel Myrick, Eduardo Sánchez",1999,0,0,No,6.5
Bone Tomahawk,S. Craig Zahler,2015,0,0,No,7.1
Bram Stoker's Dracula,Francis Ford Coppola,1992,1,0.5,No,7.4
Bride of Chucky,Ronny Yu,1998,11,2,No,5.4
Brightburn,David Yarovesky,2019,20,3.5,No,6.2
Cabin Fever,Eli Roth,2002,10,2.5,No,5.6
